"Josh is a fantastic teacher. He offers great constructive criticism and works with each of us to answer any questions or concerns we may have. It is clear as day that he knows what he is talking about because he offers great resources, insights, is knowledgeable in design history and is on top of the latest design trends. Super relatable and understanding. Always encouraged us to experiment and gave us new tools to work with depending on what we were trying to do. The more effort you put in his class, the more you will gain from the class. He showed us many designers, even brought in several typography/design books, and gave us lots of typography related readings to help teach us and inspire us. I came into this class unsure on whether I would even like typography or even knowing what it really is and now I've grown quite fond of it. His genuine excitement for teaching and sharing typography and design is really what motivated me to challenge myself and helped me appreciate typography so much. He also changed the way he taught certain things in class to better suit the class's needs which is just awesome because it just creates a better learning environment. I hope to have him in a future class because it was rad getting to learn from him.",Northeastern Illinois University,Type 1,F21
"I found this class to be very intriguing Josh was always helpful and understanding. He was a bit of a hard grader, but always gave opportunities to fix anything so it evened out.",Northeastern Illinois University,Type 1,F21
"Josh was fantastic; engaging and fun. To be honest, there wasn't a moment of dullness on the course. I would definitely take another course with him as the professor even if the course wasn't required.",Northeastern Illinois University,Type 1,F21
"Type 1 was easily one of my favorite classes this semester. I think Josh is a great instructor that pushes his students to take it to the next level while remaining encouraging, helpful and very patient. I learned so much through this course and had lots of fun doing the material. I think the structure of the class ( the workshops in the beginning) up to the final project (everything we learned condensed into one book final) is perfect. I felt confident enough to explore design by the time we had our final project. One critique would be on the pacing of the class since the final seemed a tad bit rushed so ideally, I would've liked slightly more time but overall, it was great. I came in with little to no knowledge of this course and left with so much consideration, appreciation and knowledge of design. Thank you Josh for helping me feel confident about choosing design (I think I really really really like it). It was a pleasure being your student!",Northeastern Illinois University,Type 1,F21
"This course was such an exciting experience! I did learn quite a lot from it! However, a couple of students were short on the essay word count during the book project and didn't have enough to fill their section. If the first draft had been returned sooner, with comments, they would have been able to work on those issues before they started the book project. Also, the Book Project should get that extra time towards the end. The project will become this tangible and permanent thing that everyone else will get to see, so students should get that time to push and polish their work. Other than that, I had a good experience! I loved the passion and enthusiasm you brought to each class!",Northeastern Illinois University,Type 1,F21
"Josh is an excellent teacher, incredibly understanding, and goes at great lengths to make sure his students succeed. One of the best teachers I've had thus far.",The University of Illinois Chicago,Color Theory,F21
I thought that the comments Josh made on my work were very helpful and I liked that there was time in class to work on our projects.,The University of Illinois Chicago,Color Theory,F21
I thought that the comments Josh made on my work were very helpful and I liked that there was time in class to work on our projects.,The University of Illinois Chicago,Color Theory,F21
"Friendly environment, very interactive instructor. Amazing job!",The University of Illinois Chicago,Color Theory,F21
"I loved having Josh as a teacher, he was the best teacher I had this semester. I wish I could have him all my time at this school. I loved going to his class.",The University of Illinois Chicago,Color Theory,F21
"Josh is a really great instructor, very clear, makes you want to be in class.",The University of Illinois Chicago,Color Theory,F21
Josh went into great detail and was always willing to help out any student or extend deadlines based on the class's schedule.,The University of Illinois Chicago,Color Theory,F21
Great teacher and environment!,The University of Illinois Chicago,Color Theory,F21
The overall environment in this class was great we were all very vocal when we were confused and when we needed help everyone asked.,The University of Illinois Chicago,Color Theory,F21
"Very effective lectures, great idea of recording every one.",The University of Illinois Chicago,Color Theory,F21
"I've enjoyed this class despite the fact that I felt it lacked in a few areas we discussed about, but overall, you are on the right track on how you want to teach the class and I hope that you are able to continue teaching here.",Columbia College,Fundamentals of Visual Design,F21
